tag_id,length,release_site,release_time
3D9.1BF0F40BC1,109,JOHTRP,03/06/2002 15:45:00
3D9.1BF0F35356,108,JOHTRP,03/06/2002 15:45:00
..........,71,JOHTRP,03/06/2002 15:45:00
3D9.1BF0F40645,70,JOHTRP,03/07/2002 17:00:00
3D9.1BF0F409AF,60,JOHTRP,03/07/2002 17:00:00
3D9.1BF0F41DA7,171,JOHTRP,03/07/2002 17:00:00
..........,63,JOHTRP,03/10/2002 16:55:00
3D9.1BF0F4222C,153,JOHTRP,03/10/2002 16:55:00
3D9.1BF0F3FA50,73,JOHTRP,03/10/2002 16:55:00
..........,59,JOHTRP,03/11/2002 17:30:00
3D9.1BF0F34A18,94,JOHTRP,03/11/2002 17:30:00
..........,52,JOHTRP,03/11/2002 17:30:00
3D9.1BF0F222F4,71,JOHTRP,03/11/2002 17:30:00
3D9.1BF0F31CCB,64,JOHTRP,03/11/2002 17:30:00
3D9.1BF0F41063,68,JOHTRP,03/11/2002 17:30:00
3D9.1BF0F40645,70,JOHTRP,03/11/2002 17:30:00
3D9.1BF0F4222C,152,JOHTRP,03/11/2002 17:30:00
..........,100,JOHTRP,03/12/2002 16:35:00
3D9.1BF0F1F5F3,72,JOHTRP,03/12/2002 16:35:00
3D9.1BF0F40C5F,118,JOHTRP,03/12/2002 16:35:00
3D9.1BF0F41063,67,JOHTRP,03/12/2002 16:35:00
3D9.1BF0F40948,68,JOHTRP,03/12/2002 16:35:00
3D9.1BF0F1F5F3,72,JOHTRP,03/13/2002 18:45:00
3D9.1BF0F2FEBD,98,JOHTRP,03/13/2002 18:45:00
3D9.1BF0F32DD8,74,JOHTRP,03/13/2002 18:45:00
3D9.1BF0F40BB8,175,JOHTRP,03/13/2002 18:45:00
3D9.1BF0F2FA29,161,JOHTRP,03/13/2002 18:45:00
3D9.1BF0F3FA72,112,JOHTRP,03/14/2002 16:30:00
3D9.1BF0F2FEBD,98,JOHTRP,03/14/2002 16:30:00
3D9.1BF0F4010F,101,JOHTRP,03/15/2002 15:00:00
3D9.1BF0F2FA29,160,JOHTRP,03/15/2002 15:00:00
3D9.1BF0F3FA72,112,JOHTRP,03/15/2002 15:00:00
3D9.1BF0F2FAE6,80,JOHTRP,03/21/2002 17:40:00
3D9.1BF0F3FD6A,78,JOHTRP,03/21/2002 17:40:00
..........,58,JOHTRP,03/21/2002 17:40:00
3D9.1BF0F131D2,153,JOHTRP,03/21/2002 17:40:00
3D9.1BF0F3FAF8,169,JOHTRP,03/25/2002 18:15:00
3D9.1BF0F41CB3,146,JOHTRP,03/25/2002 18:15:00
3D9.1BF0F30C75,80,JOHTRP,03/25/2002 18:15:00
3D9.1BF0F40732,75,JOHTRP,03/25/2002 18:15:00
3D9.1BF11B573D,75,JOHTRP,03/26/2002 18:15:00
3D9.1BF11B5961,73,JOHTRP,03/26/2002 18:15:00
3D9.1BF0F40732,74,JOHTRP,03/26/2002 18:15:00
3D9.1BF0F30C75,80,JOHTRP,03/26/2002 18:15:00
3D9.1BF11B7D9E,64,JOHTRP,03/26/2002 18:15:00
3D9.1BF11B7C86,159,JOHTRP,03/26/2002 18:15:00
3D9.1BF11B76D5,149,JOHTRP,03/26/2002 18:15:00
..........,168,JOHTRP,03/26/2002 18:15:00
3D9.1BF11B57C9,164,JOHTRP,03/26/2002 18:15:00
3D9.1BF0F3FAF8,169,JOHTRP,03/26/2002 18:15:00
3D9.1BF11B76D5,149,JOHTRP,03/27/2002 19:30:00
3D9.1BF11B75EE,153,JOHTRP,03/27/2002 19:30:00
3D9.1BF11B79A0,150,JOHTRP,03/27/2002 19:30:00
3D9.1BF11B75D8,150,JOHTRP,03/28/2002 16:00:00
3D9.1BF11B76CB,107,JOHTRP,03/28/2002 16:00:00
3D9.1BF11B7A27,126,JOHTRP,03/28/2002 16:00:00
3D9.1BF11B79A0,150,JOHTRP,03/28/2002 16:00:00
3D9.1BF11B75EE,153,JOHTRP,03/28/2002 16:00:00
3D9.1BF11B5BFF,186,JOHTRP,03/28/2002 16:00:00
..........,144,JOHTRP,03/29/2002 17:00:00
3D9.1BF11B7641,171,JOHTRP,03/30/2002 17:00:00
3D9.1BF11B60F6,70,JOHTRP,03/31/2002 18:00:00
3D9.1BF11B7469,74,JOHTRP,03/31/2002 18:00:00
3D9.1BF11B7CB6,64,JOHTRP,03/31/2002 18:00:00
..........,66,JOHTRP,03/31/2002 18:00:00
3D9.1BF11B5AD1,81,JOHTRP,03/31/2002 18:00:00
3D9.1BF11B57AF,65,JOHTRP,03/31/2002 18:00:00
3D9.1BF11B7C0A,128,JOHTRP,03/31/2002 18:00:00
3D9.1BF11B56EA,183,JOHTRP,03/31/2002 18:00:00
3D9.1BF11B7469,74,JOHTRP,04/01/2002 17:30:00
3D9.1BF11B78C8,72,JOHTRP,04/01/2002 17:30:00
..........,50,JOHTRP,04/01/2002 17:30:00
3D9.1BF11B70F2,73,JOHTRP,04/01/2002 17:30:00
3D9.1BF11C08C8,67,JOHTRP,04/01/2002 17:30:00
3D9.1BF11BFA3E,68,JOHTRP,04/01/2002 17:30:00
3D9.1BF11BF2DE,73,JOHTRP,04/01/2002 17:30:00
3D9.1BF11B7C0A,128,JOHTRP,04/01/2002 17:30:00
3D9.1BF11B56EA,183,JOHTRP,04/01/2002 17:30:00
3D9.1BF11BF83C,81,JOHTRP,04/01/2002 17:30:00
3D9.1BF11B698B,66,JOHTRP,04/01/2002 17:30:00
3D9.1BF11C05AE,192,JOHTRP,04/01/2002 17:30:00
3D9.1BF11C0D44,151,JOHTRP,04/02/2002 15:30:00
3D9.1BF11B6B7F,68,JOHTRP,04/02/2002 15:30:00
3D9.1BF11B6DEE,193,JOHTRP,04/02/2002 15:30:00
3D9.1BF11B6BDE,73,JOHTRP,04/02/2002 15:30:00
..........,57,JOHTRP,04/02/2002 15:30:00
..........,58,JOHTRP,04/02/2002 15:30:00
3D9.1BF11B68C9,63,JOHTRP,04/02/2002 15:30:00
..........,43,JOHTRP,04/03/2002 20:40:00
3D9.1BF11B6831,67,JOHTRP,04/03/2002 20:40:00
3D9.1BF11BFDA4,71,JOHTRP,04/03/2002 20:40:00
3D9.1BF11B6B7F,68,JOHTRP,04/03/2002 20:40:00
3D9.1BF11BECBF,73,JOHTRP,04/03/2002 20:40:00
3D9.1BF11BF8FC,74,JOHTRP,04/03/2002 20:40:00
3D9.1BF11BF6FE,,JOHTRP,04/03/2002 20:40:00
3D9.1BF11B772F,70,JOHTRP,04/03/2002 20:40:00
3D9.1BF11B7E6C,142,JOHTRP,04/03/2002 20:40:00
3D9.1BF11C0D44,151,JOHTRP,04/03/2002 20:40:00
..........,56,JOHTRP,04/04/2002 17:20:00
..........,66,JOHTRP,04/04/2002 17:20:00
3D9.1BF11BEB1C,77,JOHTRP,04/04/2002 17:20:00
3D9.1BF11BEEEB,70,JOHTRP,04/04/2002 17:20:00
3D9.1BF11C0A8B,80,JOHTRP,04/04/2002 17:20:00
3D9.1BF11B7576,76,JOHTRP,04/05/2002 18:17:00
3D9.1BF11B7A2C,71,JOHTRP,04/05/2002 18:17:00
3D9.1BF11B64D4,62,JOHTRP,04/05/2002 18:17:00
3D9.1BF11B6248,62,JOHTRP,04/05/2002 18:17:00
..........,75,JOHTRP,04/05/2002 18:17:00
3D9.1BF11B5FDC,80,JOHTRP,04/05/2002 18:17:00
3D9.1BF11B7D07,71,JOHTRP,04/05/2002 18:17:00
