tag_id,length,release_site,release_time
..........,64,SECTRP,04/02/2009 10:00:00
3D9.1C2D0AF5DB,163,SECTRP,04/10/2009 08:30:00
..........,58,SECTRP,04/13/2009 10:00:00
3D9.1C2CFFF525,178,SECTRP,04/13/2009 10:00:00
3D9.1C2D0003F4,170,SECTRP,04/13/2009 10:00:00
..........,48,SECTRP,04/14/2009 09:15:00
..........,64,SECTRP,04/14/2009 09:15:00
3D9.1C2D0003F4,170,SECTRP,04/14/2009 09:15:00
3D9.1C2CF56F94,96,SECTRP,04/18/2009 10:00:00
..........,63,SECTRP,04/20/2009 11:15:00
3D9.1C2CFFACF1,80,SECTRP,04/20/2009 11:15:00
3D9.1C2CFEA415,169,SECTRP,04/20/2009 11:15:00
3D9.1C2CFFF535,166,SECTRP,04/20/2009 11:15:00
3D9.1C2CFC0970,187,SECTRP,04/20/2009 11:15:00
..........,65,SECTRP,04/20/2009 11:15:00
3D9.1C2CFFFA77,190,SECTRP,04/21/2009 19:40:00
3D9.1C2D000F1D,165,SECTRP,04/21/2009 19:40:00
3D9.1C2CFB81A1,181,SECTRP,04/21/2009 19:40:00
3D9.1C2CF55B11,195,SECTRP,04/21/2009 19:40:00
3D9.1C2D0B5573,200,SECTRP,04/21/2009 19:40:00
3D9.1C2D0B071A,170,SECTRP,04/21/2009 19:40:00
3D9.1C2CFB02F5,196,SECTRP,04/21/2009 19:40:00
3D9.1C2D0AFC2D,176,SECTRP,04/21/2009 19:40:00
3D9.1C2CFE0EC5,171,SECTRP,04/21/2009 19:40:00
3D9.1C2D00072A,215,SECTRP,04/21/2009 19:40:00
3D9.1C2CFFF42D,199,SECTRP,04/21/2009 19:40:00
3D9.1C2CFD300C,183,SECTRP,04/21/2009 19:40:00
3D9.1BF1CACEFE,162,SECTRP,04/21/2009 19:40:00
3D9.1C2CFEFDE8,170,SECTRP,04/21/2009 19:40:00
..........,71,SECTRP,04/25/2009 09:00:00
..........,59,SECTRP,04/25/2009 09:00:00
..........,65,SECTRP,04/25/2009 09:00:00
..........,65,SECTRP,04/25/2009 09:00:00
..........,68,SECTRP,04/25/2009 09:00:00
..........,68,SECTRP,04/25/2009 09:00:00
..........,74,SECTRP,04/25/2009 09:00:00
3D9.1C2D001F01,127,SECTRP,04/25/2009 09:00:00
3D9.1C2D00112A,159,SECTRP,04/25/2009 09:00:00
3D9.1C2CF5599A,100,SECTRP,04/25/2009 09:00:00
..........,69,SECTRP,04/26/2009 09:15:00
..........,70,SECTRP,04/26/2009 09:15:00
..........,79,SECTRP,04/26/2009 09:15:00
3D9.1C2CFE0CE3,143,SECTRP,04/26/2009 09:15:00
3D9.1C2CFD39FC,167,SECTRP,04/26/2009 09:15:00
3D9.1C2D001FD3,181,SECTRP,04/26/2009 09:15:00
3D9.1C2CFFACE8,169,SECTRP,04/26/2009 09:15:00
3D9.1C2CFF0436,212,SECTRP,04/27/2009 11:10:00
3D9.1C2CFAFD59,168,SECTRP,04/27/2009 11:10:00
3D9.1C2CFAF2A2,186,SECTRP,04/27/2009 11:10:00
..........,57,SECTRP,04/27/2009 11:10:00
..........,64,SECTRP,04/27/2009 11:10:00
..........,61,SECTRP,04/27/2009 11:10:00
..........,55,SECTRP,04/27/2009 11:10:00
..........,76,SECTRP,04/28/2009 09:45:00
..........,77,SECTRP,04/28/2009 09:45:00
..........,61,SECTRP,04/28/2009 09:45:00
..........,66,SECTRP,04/29/2009 10:15:00
..........,76,SECTRP,04/29/2009 10:15:00
